,e_name,e_category,e_type
1443,Cold Plate Dessert,ice_cream,0
1444,Covid Testing Kiosk,healthcare,0
1445,Louisa Boren Plaque,historic,0
1446,TJ Tire Center,tyres,0
1447,KinderCare,kindergarten,0
1448,Pacific Northwest Shop,gift,0
1449,Lyn Hair Salon,hairdresser,0
1450,Ian,clothes,0
1451,Westlake Ave N & 8th Ave N,bus_stop,0
1452,Smoke Lounge,tobacco,0
1453,Experimental Education Unit,office,0
1454,Maroun Mediterranean Grill,restaurant,0
1455,Equality,artwork,0
1456,B+H Architects,office,0
1457,International Village Business Suites,,0
1458,Kumon,prep_school,0
1459,Market Fresh,Buffets; Breakfast & Brunch; Health Markets,0
1460,Lotus Yoga,leisure,0
1461,D 2,office,0
1462,W Government Way & 34th Ave W,bus_stop,0
1463,The Flatiron Building,building,1
1464,Starbucks Reserve,cafe,0
1465,Larson Real Estate,office,0
1466,Cirrus (South),building,1
1467,Jimmy John's,fast_food,0
1468,Birch,restaurant,0
1469,King's Discus,pet,0
1470,Hanh's Modern Hair,hairdresser,0
1471,Floof Pet Grooming,pet_grooming,0
1472,Cortina,restaurant,0
1473,Conscious Body Pilates,leisure,0
1474,El Centro de la Raza (Sec. H),community_centre,1
1475,Central Babershop,hairdresser,0
1476,Red Mill Burgers,restaurant,0
1477,Lighthouse Montessori School,kindergarten,0
1478,Husky Statue,artwork,0
1479,Little Free Library,public_bookcase,0
1480,The Seattle Public Library- Northeast Branch (East),library,1
1481,Walgreens,pharmacy,0
1482,Blue Moon Tavern,pub,0
1483,23rd Ave E & E John St,bus_stop,0
1484,Tokara,confectionery,0
1485,NE 45th St & Memorial Way NE,bus_stop,0
1486,Seattle Public Library - International District Chinatown Branch,Libraries,0
1487,Fremont Brewing Urban Beer Garden,pub,1
1488,Go PT,healthcare,0
1489,HomeStreet Bank,bank,0
1490,Amazon.com Day 1,commercial,1
1491,KeyBank,atm,0
1492,Retrofit Home,furniture,0
1493,Poke Alice,fast_food,0
1494,Analog Coffee,cafe,0
1495,Metropolitan Park: North Tower,building,1
1496,W Government Way & 31st Ave W,bus_stop,0
1497,Firefighter Silhouettes,artwork,0
1498,Edward Jones,office,0
